sample,path_segment,fraction,distance,z,r,inside_domain,cell_index,number_density,velocity_z,velocity_r,velocity_theta,direct_view_factor_anode,direct_view_factor_background,direct_view_factor_wall,density_from_anode,density_from_background,density_from_wall
1,1,0,0,0,0.425,false,0,,,,,,,,,,
2,1,0.01,0.001,0.001,0.425,false,0,,,,,,,,,,
3,1,0.02,0.002,0.002,0.425,false,0,,,,,,,,,,
4,1,0.03,0.003,0.003,0.425,false,0,,,,,,,,,,
5,1,0.04,0.004,0.004,0.425,false,0,,,,,,,,,,
6,1,0.05,0.005,0.005,0.425,false,0,,,,,,,,,,
7,1,0.06,0.006,0.006,0.425,false,0,,,,,,,,,,
8,1,0.06999999999999999,0.007,0.006999999999999999,0.425,false,0,,,,,,,,,,
9,1,0.08,0.008,0.008,0.425,false,0,,,,,,,,,,
10,1,0.08999999999999998,0.008999999999999999,0.008999999999999999,0.425,false,0,,,,,,,,,,
11,1,0.09999999999999999,0.01,0.01,0.425,false,0,,,,,,,,,,
12,1,0.11,0.011,0.011,0.425,false,0,,,,,,,,,,
13,1,0.12,0.012,0.012,0.425,false,0,,,,,,,,,,
14,1,0.13,0.013,0.013,0.425,false,0,,,,,,,,,,
15,1,0.14,0.014,0.014,0.425,false,0,,,,,,,,,,
16,1,0.15,0.015,0.015,0.425,false,0,,,,,,,,,,
17,1,0.16,0.016,0.016,0.425,false,0,,,,,,,,,,
18,1,0.17,0.017,0.017,0.425,false,0,,,,,,,,,,
19,1,0.18,0.018,0.018,0.425,false,0,,,,,,,,,,
20,1,0.19,0.019,0.019,0.425,false,0,,,,,,,,,,
21,1,0.2,0.02,0.02,0.425,false,0,,,,,,,,,,
22,1,0.21,0.021,0.021,0.425,false,0,,,,,,,,,,
23,1,0.22,0.022,0.022,0.425,false,0,,,,,,,,,,
24,1,0.23,0.023,0.023,0.425,false,0,,,,,,,,,,
25,1,0.24,0.024,0.024,0.425,false,0,,,,,,,,,,
26,1,0.25,0.025,0.025,0.425,false,0,,,,,,,,,,
27,1,0.26,0.026,0.026,0.425,false,0,,,,,,,,,,
28,1,0.27,0.027,0.027,0.425,false,0,,,,,,,,,,
29,1,0.28,0.028,0.028,0.425,false,0,,,,,,,,,,
30,1,0.29,0.029,0.029,0.425,false,0,,,,,,,,,,
31,1,0.3,0.03,0.03,0.425,false,0,,,,,,,,,,
32,1,0.31,0.031,0.031,0.425,false,0,,,,,,,,,,
33,1,0.32,0.032,0.032,0.425,false,0,,,,,,,,,,
